kind	class	method	param	index	path	tool
PARAMETER	Deprecated.Trade	setDate(java.sql.Date)	date	0	url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/src/Deprecated/Trade.java	!nullgtn
FIELD	darwInvest.environment.StrategyParameters	nan	cache	nan	url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwInvest/environment/StrategyParameters.java	!nullgtn
METHOD	edu.iastate.cyctools.CycDataBaseAccess	frameToTree(java.lang.String)	nan	nan	urlcdab7d8364_jrwalsh_CycTools_tgz-pJ8-edu_iastate_cyctools_MainJ8/src/edu/iastate/cyctools/CycDataBaseAccess.java	!nullgtn
PARAMETER	org.maltparser.parser.algorithm.stack.Projective	getDeterministicAction(org.maltparser.parser.history.GuideUserHistory,org.maltparser.parser.ParserConfiguration)	history	0	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/parser/algorithm/stack/Projective.java	!annotator
FIELD	com.usps.data.Detail	nan	rateSchedule	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/data/Detail.java	!nullgtn
PARAMETER	kademlia.dht.GetParameter	setOwnerId(java.lang.String)	ownerId	0	url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8/src/kademlia/dht/GetParameter.java	!nullgtn
FIELD	org.quartz.QuartzScheduler	nan	jobMgr	nan	url7f729337e3_timmolter_Sundial_tgz-pJ8-org_knowm_sundial_SampleRunJ8/src/org/quartz/QuartzScheduler.java	!annotator
FIELD	com.mpos.lottery.te.thirdpartyservice.amqp.MessageConnectionPoolablObjectFactory	nan	host	nan	url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/MessageConnectionPoolablObjectFactory.java	!nullgtn
METHOD	org.pcj.internal.futures.PutVariable	get()	nan	nan	urld856362767_hpdcj_PCJ_tgz-pJ8-org_pcj_test_StorageExampleMainJ8/src/org/pcj/internal/futures/PutVariable.java	!annotator
METHOD	org.jgraph.JGraph	getOffscreenOffset()	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/JGraph.java	!nullgtn
PARAMETER	regexpToNFA.MainClass	handle(regexpToNFA.Unit,regexpToNFA.Unit,int,int)	father	0	urlf91495fd27_Rembau_complie_tgz-pJ8-matcher_MatchJ8/src/regexpToNFA/MainClass.java	!nullgtn
FIELD	RQLibrary.Encoder	nan	encoded_symbols_reparation	nan	url9ecf1e8297_nhamidi_ninja_tgz-pJ8-net_fec_openrq_test_TestRunnerJ8/src/RQLibrary/Encoder.java	!nullgtn
METHOD	parse.misc.OperatorParser	parse(java.lang.String,int)	nan	nan	urlc8dbc7ce6e_dlubarov_guava_tgz-pJ8-MainJ8/src/parse/misc/OperatorParser.java	!nullgtn
PARAMETER	stv6.database.MysqlDatabase	MysqlDatabase(java.lang.String,java.lang.String,java.lang.String,java.lang.String)	user	2	url026791d51b_dhleong_SeriesTracker_v6_tgz-pJ8-stv6_SeriesTrackerJ8/src/stv6/database/MysqlDatabase.java	!nullgtn
METHOD	de.odysseus.el.tree.impl.ast.AstFunction	toString()	nan	nan	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/de/odysseus/el/tree/impl/ast/AstFunction.java	!nullgtn
FIELD	com.sdm.phr.bswabe.BswabePub	nan	gp	nan	urlc58f2e0b85_xoriole_CEAC_tgz-pJ8-com_sdm_phr_cpabe_CpabeTestJ8/src/com/sdm/phr/bswabe/BswabePub.java	!nullgtn
METHOD	com.usps.evs.vo.ExtractRecord	getMailerId()	nan	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ExtractRecord.java	!nullgtn
FIELD	br.edu.ufcg.lsd.oursim.events.PrimaryEvent	nan	data	nan	urlb5d5be4365_abmargb_oursim_ext_tgz-pJ8-br_edu_ufcg_lsd_oursim_experiments_RemoteNoFScenarioGeneratorJ8/src/br/edu/ufcg/lsd/oursim/events/PrimaryEvent.java	!nullgtn
FIELD	com.usps.data.Detail	nan	rateIngredModInd	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/data/Detail.java	!nullgtn
METHOD	com.mxgraph.util.mxUtils	parse(java.lang.String)	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/util/mxUtils.java	!nullgtn
PARAMETER	org.knowm.xchart.CategoryChart	sanityCheck(java.lang.String,java.util.List,java.util.List,java.util.List)	errorBars	3	url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/CategoryChart.java	!nullgtn
METHOD	myastro.service.matchmaker.impl.VashiyaKootaService	getImportance()	nan	nan	urld1e4af3f63_GMIyer_myastro_tgz-pJ8-loader_MatchMakerMainJ8/src/myastro/service/matchmaker/impl/VashiyaKootaService.java	!nullgtn
METHOD	org.apache.thrift.TUnion	getSetField()	nan	nan	url00509339cf_tedwon_scribe_log4j_appender_tgz-pJ8-com_realtimecep_scribe_ScribeJavaServerJ8/src/org/apache/thrift/TUnion.java	!nullgtn
METHOD	org.maltparser.core.propagation.spec.PropagationSpec	getFrom()	nan	nan	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/propagation/spec/PropagationSpec.java	!nullgtn
METHOD	es.uc3m.eda.tree.IBSTNode	getParent()	nan	nan	url3ed4973106_kosmasK_RecordPlayer_tgz-pJ8-es_uc3m_recordplayer_test_TestJ8/src/es/uc3m/eda/tree/IBSTNode.java	!nullgtn
METHOD	net.jcores.jre.cores.CoreZipInputStream	get(java.lang.String)	nan	nan	url70ed135da7_ralfbiedert_jcores_tgz-pJ8-sandbox_SimpleFilterTestJ8/src/net/jcores/jre/cores/CoreZipInputStream.java	!nullgtn
PARAMETER	org.agilewiki.jactor2.core.impl.mtReactors.ReactorMtImpl	ReactorMtImpl(org.agilewiki.jactor2.core.reactors.IsolationReactor,int,int)	_parentReactor	0	url7d636e8121_laforge49_JActor2_tgz-pJ8-org_agilewiki_jactor2_core_revisited_EHJ8/src/org/agilewiki/jactor2/core/impl/mtReactors/ReactorMtImpl.java	!nullgtn
FIELD	ch.zhaw.regularLanguages.evolution.candidates.DFAEvolutionCandidateWithProblemSet	nan	alphabet	nan	url835a90ed59_aschi_regularLanguages_tgz-pJ8-ch_zhaw_regularLanguages_evolution_runners_EvolvingLocalDivisable5LanguageJ8/src/ch/zhaw/regularLanguages/evolution/candidates/DFAEvolutionCandidateWithProblemSet.java	!nullgtn
METHOD	org.maltparser.core.options.option.ClassOption	getDefaultValueString()	nan	nan	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/options/option/ClassOption.java	!nullgtn
FIELD	frs.hotgammon.variants.factories.SemiMonFactory	nan	game	nan	url49526af437_Maria_G_CS325_tgz-pJ8-assignments_farmer_FarmerImplJ8/src/frs/hotgammon/variants/factories/SemiMonFactory.java	!nullgtn
FIELD	SevenZip.LzmaAlone$CommandLine	nan	OutFile	nan	urlbd77b745af_KokaKiwi_MCLauncher_tgz-pJ8-net_contrapunctus_lzma_BenchmarkJ8/src/SevenZip/LzmaAlone.java	!nullgtn
PARAMETER	es.dagaren.gladiator.transposition.Entry	init(long,int,int,es.dagaren.gladiator.transposition.Entry.Type,int,es.dagaren.gladiator.representation.Movement)	bestMove	5	url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/src/es/dagaren/gladiator/transposition/Entry.java	!nullgtn
FIELD	rivercityransom.impl.BlocImpl	nan	objet	nan	urlc3ca8aa24b_davidsan_rivercityransom_tgz-pJ8-rivercityransom_dirtytests_GangsterTestMainJ8/src/rivercityransom/impl/BlocImpl.java	!nullgtn
FIELD	com.iconmaster.hppplus.parse.element.block.ElementFunction	nan	range	nan	urle27f76cced_iconmaster5326_HPPPlus_tgz-pJ8-com_iconmaster_hppplus_HPPPlusJ8/src/com/iconmaster/hppplus/parse/element/block/ElementFunction.java	!nullgtn
FIELD	com.usps.evs.vo.SampleHeader	nan	facilityType	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/SampleHeader.java	!nullgtn
METHOD	xscript.object.XTypeDataType	_new(xscript.object.XRuntime,xscript.values.XValue,java.util.List,java.util.Map)	nan	nan	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/object/XTypeDataType.java	!nullgtn
FIELD	com.fidelis.argface.CommonPojo	nan	cName	nan	url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8/src/com/fidelis/argface/CommonPojo.java	!nullgtn
METHOD	org.json.JSONObject	valueToString(java.lang.Object)	nan	nan	url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java	!nullgtn
METHOD	org.jbox2d.testbed.framework.TestbedTest	getTag(org.jbox2d.dynamics.Fixture)	nan	nan	urld8e41b4f7f_warrenfalk_jbox2dtest_tgz-pJ8-org_jbox2d_testbed_framework_TestbedMainJ8/src/org/jbox2d/testbed/framework/TestbedTest.java	!nullgtn
METHOD	io.core9.core.boot.BootstrapStrategies	getStrategies()	nan	nan	url5a01f2c1d9_core9_core_tgz-pJ8-io_core9_core_boot_BootstrapFrameworkJ8/src/io/core9/core/boot/BootstrapStrategies.java	!nullgtn
FIELD	relop.KeyScan	nan	hashScan	nan	urlefa3b0a07b_jhngzhu_Database_RelationalOperator_tgz-pJ8-tests_ROTestJ8/src/relop/KeyScan.java	!nullgtn
PARAMETER	cscie97.common.squaredesk.Capacity	Capacity(java.lang.Integer,java.lang.Integer,java.lang.Float)	workSpaces	1	urlcb91e63e47_alexGalushka_E97_Assignment3_tgz-pJ8-cscie97_asn3_test_TestDriverJ8/src/cscie97/common/squaredesk/Capacity.java	!nullgtn
FIELD	br.com.bit.ideias.reflection.core.Introspector	nan	criterion	nan	urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/core/Introspector.java	!nullgtn
PARAMETER	org.dclayer.net.componentinterface.DataComponentI	setData(org.dclayer.net.Data)	data	0	url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/componentinterface/DataComponentI.java	!wpi
FIELD	cz.mff.dpp.args.examples.TimeCommand$TimeOptions	nan	outputFile	nan	url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/examples/TimeCommand.java	!nullgtn
METHOD	org.jgraph.plaf.basic.BasicGraphUI	getHandle()	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/plaf/basic/BasicGraphUI.java	!nullgtn
FIELD	models.ModelAI	nan	playHistory	nan	urlfaa9045c2e_Azmisov_racko_ai_tgz-pJ8-client_TestingJ8/src/models/ModelAI.java	!nullgtn
PARAMETER	commands.data.TrainingElement	TrainingElement(java.lang.String,commands.data.Trajectory)	c	0	url888b6fd9b4_jmacglashan_commandsToTasks_tgz-pJ8-commands_tests_Model3TestsJ8/src/commands/data/TrainingElement.java	!nullgtn
FIELD	xscript.compiler.tree.XTree$XTreeAssert	nan	condition	nan	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/compiler/tree/XTree.java	!nullgtn
METHOD	com.usps.evs.vo.ManifestDetail	getFiller()	nan	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ManifestDetail.java	!nullgtn
FIELD	modes.TitleScreen	nan	mainMenuTitle	nan	url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/modes/TitleScreen.java	!nullgtn
PARAMETER	Client_Server.AGServer	saveGame(java.lang.String)	filePath	0	urlb44e9843ba_QuasimodoNZ_SWEN222_Game_Project_tgz-pJ8-Game_World_GameWorldLevelBuilderJ8/src/Client_Server/AGServer.java	!nullgtn
METHOD	com.fidelis.argface.ArgFind	findArgField(com.fidelis.argface.ArgOption)	nan	nan	url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8/src/com/fidelis/argface/ArgFind.java	!nullgtn
FIELD	ar.fiuba.tecnicas.framework.JTest.XmlPrinter	nan	time	nan	url633772aa30_isma3l_Tp2_tgz-pJ8-ar_fiuba_tecnicas_framework_Pruebas_Casos1_MainJ8/src/ar/fiuba/tecnicas/framework/JTest/XmlPrinter.java	!nullgtn
PARAMETER	org.jgraph.graph.GraphLayoutCache	augment(javax.swing.undo.UndoableEdit[],javax.swing.undo.UndoableEdit)	e	0	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/graph/GraphLayoutCache.java	!nullgtn
METHOD	minewebsocket.org.java_websocket.handshake.Handshakedata	getContent()	nan	nan	url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/org/java_websocket/handshake/Handshakedata.java	!nullgtn
PARAMETER	gramatica.java_cup.runtime.lr_parser	report_fatal_error(java.lang.String,java.lang.Object)	info	1	url75694980d5_fabioalmeid_tp01ftc_tgz-pJ8-agentes_jade_Centralizador_ExemploParserGramaticaCentralizadorJ8/src/gramatica/java_cup/runtime/lr_parser.java	!nullgtn
PARAMETER	org.json.JSONObject	put(java.lang.String,java.util.Map)	value	1	url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8/src/org/json/JSONObject.java	!nullgtn
METHOD	logfilegen.allconverters.record.request.MethodConv	convertToString()	nan	nan	urlfd6bd5edbe_AntonPoznyak_LogFileGenerator_tgz-pJ8-logfilegen_StartMePleaseJ8/src/logfilegen/allconverters/record/request/MethodConv.java	!nullgtn
FIELD	erilex.codegen.NameEmbedding	nan	prefix	nan	urlaa914a1de2_xu_hao_erilex_tgz-pJ8-erilex_esl_ESLJ8/src/erilex/codegen/NameEmbedding.java	!nullgtn
PARAMETER	xscript.compiler.XCodeGen	addInstruction(xscript.compiler.tree.XTree,xscript.compiler.XJumpTarget)	target	1	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/compiler/XCodeGen.java	!nullgtn
PARAMETER	javax.el.ELException	ELException(java.lang.Throwable)	cause	0	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/javax/el/ELException.java	!nullgtn
METHOD	es.uc3m.recordplayer.interfaces.recordshelf.IRecordShelf	getRecordFromSlot(int)	nan	nan	url3ed4973106_kosmasK_RecordPlayer_tgz-pJ8-es_uc3m_recordplayer_test_TestJ8/src/es/uc3m/recordplayer/interfaces/recordshelf/IRecordShelf.java	!nullgtn
PARAMETER	gui.MarketDisplay	updateMarketData(java.lang.String,price.Price,int,price.Price,int)	product	0	urlfd018a75f7_highlanderkev_StockExVirtuoso_tgz-pJ8-driver_Phase4J8/src/gui/MarketDisplay.java	!nullgtn
METHOD	hypergraph.HypergraphProto$Vertex$Builder	getDescriptorForType()	nan	nan	url284ba87ea1_swabhs_forbidden_paths_tgz-pJ8-tagging_hypergraph_TaggingHypergraphGeneratorJ8/src/hypergraph/HypergraphProto.java	!nullgtn
PARAMETER	br.com.bit.ideias.reflection.rql.query.QueryImpl	QueryImpl(br.com.bit.ideias.reflection.core.Introspector,java.lang.String)	introspector	0	urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8/src/br/com/bit/ideias/reflection/rql/query/QueryImpl.java	!nullgtn
METHOD	org.msgpack.unpacker.Unpacker	readByteArray()	nan	nan	url56b1dc76d3_wufunxiang_Libs_tgz-pJ8-org_msgpack_util_TemplatePrecompilerJ8/src/org/msgpack/unpacker/Unpacker.java	!nullgtn
METHOD	com.game.protobuf.GameProto$Request	parseDelimitedFrom(java.io.InputStream,com.google.protobuf.ExtensionRegistryLite)	nan	nan	url7606378bcc_ljy2010a_protobuf2_tgz-pJ8-com_game_gameObj_bufBuilder_ReflectBuilderJ8/src/com/game/protobuf/GameProto.java	!nullgtn
METHOD	hobo.Player	toString()	nan	nan	url1f1de5fc71_cooijmanstim_hobo_tgz-pJ8-hobo_TestingEnviromentJ8/src/hobo/Player.java	!nullgtn
PARAMETER	erilex.SemanticsCollection	setTrans(java.lang.String,java.lang.String,java.lang.String,java.lang.String[],erilex.codegen.IExpression)	vars	3	urlaa914a1de2_xu_hao_erilex_tgz-pJ8-erilex_esl_ESLJ8/src/erilex/SemanticsCollection.java	!nullgtn
METHOD	com.fidelis.argface.ArgPattern	rebuildPattern(com.fidelis.argface.ArgNode,java.lang.StringBuilder)	nan	nan	url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8/src/com/fidelis/argface/ArgPattern.java	!nullgtn
FIELD	com.sdicons.scripty.parser.Eval2$EvalEvent	nan	exception	nan	url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8/src/com/sdicons/scripty/parser/Eval2.java	!nullgtn
FIELD	com.jgraph.layout.demo.JGraphLayoutMorphingManager	nan	clip	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/jgraph/layout/demo/JGraphLayoutMorphingManager.java	!nullgtn
METHOD	org.jgraph.example.GraphEd$MyMarqueeHandler	getTargetPortAt(java.awt.geom.Point2D)	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/example/GraphEd.java	!nullgtn
METHOD	com.iconmaster.hppplus.parse.element.ElementRef	getRange()	nan	nan	urle27f76cced_iconmaster5326_HPPPlus_tgz-pJ8-com_iconmaster_hppplus_HPPPlusJ8/src/com/iconmaster/hppplus/parse/element/ElementRef.java	!nullgtn
FIELD	com.usps.evs.vo.ManifestHeaderRawLineVoV20	nan	mailingDate	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ManifestHeaderRawLineVoV20.java	!nullgtn
METHOD	UDPConnector.DtcpPacket	getPayload()	nan	nan	urlbc3e98d97e_jmhorjus_EFCP_Implementation_tgz-pJ8-UDPConnector_UdpConnectorTestJ8/src/UDPConnector/DtcpPacket.java	!nullgtn
METHOD	Game.Realm	getShire(java.lang.String)	nan	nan	url53f943c5cb_Praznat_AGP_tgz-pJ8-AMath_TestingJ8/src/Game/Realm.java	!wpi
PARAMETER	org.knowm.xchart.internal.chartpart.Axis	setAxisDataType(org.knowm.xchart.internal.chartpart.Axis.AxisDataType)	axisDataType	0	url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/Axis.java	!nullgtn
PARAMETER	ru.spbau.tinydb.repl.REPLRunnable	closeNullableFileOutputStream(java.io.FileOutputStream)	fileOutputStream	0	url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8/src/ru/spbau/tinydb/repl/REPLRunnable.java	!nullgtn
METHOD	edu.luc.nmerge.mvd.Base64	encodeBytes(byte[],int,int)	nan	nan	url294e6c45f3_Ecdosis_NMergeNew_tgz-pJ8-TestJ8/src/edu/luc/nmerge/mvd/Base64.java	!nullgtn
METHOD	com.usps.evs.vo.ManifestDetailRawLineV17Vo	getAltPic()	nan	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ManifestDetailRawLineV17Vo.java	!nullgtn
METHOD	org.dclayer.net.component.DataComponent	getChildren()	nan	nan	url80e7c3d65d_sblit_dcl_tgz-pJ8-org_dclayer_DCLJ8/src/org/dclayer/net/component/DataComponent.java	!nullgtn
FIELD	com.mxgraph.model.mxCell	nan	source	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/model/mxCell.java	!wpi
FIELD	com.usps.evs.vo.ManifestDetail	nan	month	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ManifestDetail.java	!nullgtn
METHOD	com.usps.evs.vo.PaymentExtractDetailVO	getCountryCode()	nan	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/PaymentExtractDetailVO.java	!nullgtn
FIELD	ai.state.AIstateController	nan	myModel	nan	url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8/src/ai/state/AIstateController.java	!nullgtn
METHOD	com.fidelis.argface.CommonPojo	getTwoOperand()	nan	nan	url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8/src/com/fidelis/argface/CommonPojo.java	!nullgtn
PARAMETER	com.mxgraph.model.mxGraphModel	getChildren(com.mxgraph.model.mxIGraphModel,java.lang.Object)	parent	1	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/model/mxGraphModel.java	!nullgtn
FIELD	MazeRoomLogic.MazeRoom	nan	enterBehavior	nan	urlcf7851e92b_Triploblastic_CSCD350_FinalProject_tgz-pJ8-MazeGame_MazeJ8/src/MazeRoomLogic/MazeRoom.java	!nullgtn
FIELD	com.usps.evs.vo.SampleWorkAroundVO	nan	convertRateIndicator	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/SampleWorkAroundVO.java	!nullgtn
FIELD	hw2_P2.MNode	nan	parent	nan	url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw2_P2/MNode.java	!nullgtn
METHOD	drivenow.Systemereignis	getNachricht()	nan	nan	url529c09a30c_kianyangchn_DriveNow_tgz-pJ8-drivenow_tests_TestJ8/src/drivenow/Systemereignis.java	!nullgtn
METHOD	edu.luc.nmerge.mvd.MVDFile	readFromDatabase(java.lang.String,java.util.Properties)	nan	nan	url294e6c45f3_Ecdosis_NMergeNew_tgz-pJ8-TestJ8/src/edu/luc/nmerge/mvd/MVDFile.java	!nullgtn
FIELD	com.usps.evs.vo.ManifestHeaderRawLineVoV20	nan	filler1	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/ManifestHeaderRawLineVoV20.java	!nullgtn
FIELD	com.usps.evs.vo.MisShippedVO	nan	dcSpecialServiceCode2	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/MisShippedVO.java	!nullgtn
METHOD	Game_World.Player	getName()	nan	nan	urlb44e9843ba_QuasimodoNZ_SWEN222_Game_Project_tgz-pJ8-Game_World_GameWorldLevelBuilderJ8/src/Game_World/Player.java	!nullgtn
METHOD	com.strategy.havannah.board.BoardHavannah	getField(int)	nan	nan	urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/havannah/board/BoardHavannah.java	!nullgtn
FIELD	securitygame.Attacker	nan	graph	nan	url9a01f43c15_poragchowdhury_securitygame_tgz-pJ8-securitygame_GameMasterJ8/src/securitygame/Attacker.java	!nullgtn
FIELD	pl.cc.real.RealCall	nan	crationTime	nan	url2df0f7c811_przemekgalazka_legacycode_tgz-pJ8-pl_cc_core_cmd_CommandJ8/src/pl/cc/real/RealCall.java	!nullgtn
METHOD	com.jgraph.example.panelexample.PortLabelCell	addLeftPort(int,java.lang.String,java.util.Map,org.jgraph.graph.ParentMap)	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/jgraph/example/panelexample/PortLabelCell.java	!nullgtn
FIELD	risiko.main.MainThreadNio	nan	sel	nan	url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/main/MainThreadNio.java	!nullgtn
PARAMETER	org.ejml.alg.dense.decomposition.hessenberg.TridiagonalDecompositionHouseholder_D64	getT(org.ejml.data.DenseMatrix64F)	T	0	url882f91ec97_WenboCao_Microsoft_Drone_tgz-pJ8-org_ejml_alg_dense_decomposition_qr_StabilityQRDecompositionJ8/src/org/ejml/alg/dense/decomposition/hessenberg/TridiagonalDecompositionHouseholder_D64.java	!nullgtn
METHOD	risiko.actions.util.actionAdapterFactory$1	caseDrawCard(risiko.actions.DrawCard)	nan	nan	url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/actions/util/actionAdapterFactory.java	!nullgtn
FIELD	hw5.Node	nan	parent	nan	url7f15a160d2_timofei7_old_ai_assignments_tgz-pJ8-org_json_TestJ8/src/hw5/Node.java	!nullgtn
PARAMETER	com.mxgraph.io.mxCodec	insertIntoGraph(com.mxgraph.model.mxICell)	cell	0	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/io/mxCodec.java	!nullgtn
FIELD	ch.obermuhlner.jhuge.example.MeasureHeap	nan	staticFastImmutableHugeHashMap	nan	url2b521cbda7_eobermuhlner_jhuge_tgz-pJ8-ch_obermuhlner_jhuge_example_MeasureHeapJ8/src/ch/obermuhlner/jhuge/example/MeasureHeap.java	!nullgtn
METHOD	de.hrw.mdbt.model.Vehicle	getLicenseNumber()	nan	nan	urlc1c8a2efc1_wydler_mdbt_tgz-pJ8-de_hrw_mdbt_CRSJ8/src/de/hrw/mdbt/model/Vehicle.java	!nullgtn
PARAMETER	com.gesoftware.venta.utility.SerializationUtility	unpack(byte[])	serializedObject	0	urlc98c3b97d2_Trimax_venta_tgz-pJ8-com_gesoftware_venta_structures_map_MapTestJ8/src/com/gesoftware/venta/utility/SerializationUtility.java	!nullgtn
FIELD	rooms.RoomImpl	nan	east	nan	url6da19b5a7a_krakrak_Adventure_Game_tgz-pJ8-adventure_MainJ8/src/rooms/RoomImpl.java	!nullgtn
PARAMETER	xscript.values.XValue	getRaw(xscript.object.XRuntime,java.lang.String)	attr	1	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/values/XValue.java	!annotator
PARAMETER	com.fuzzylite.rule.Proposition	Proposition(com.fuzzylite.variable.Variable,com.fuzzylite.term.Term)	variable	0	url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Proposition.java	!nullgtn
